id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
20969098,V201 - 2-bedroom apt & terrace - Lofts St-Vallier,23693320,Team,,Saint-Roch,46.81089,-71.22737,Entire home/apt,200,2,1,2018-02-09,0.08,14,46
20976836,big room w/private bathroom and parking*,90146111,Maryanne,,Vanier,46.82599,-71.26582,Private room,35,1,83,2019-02-24,4.65,1,275
20979140,Chambre à louer; idéal pied à terre/travail,24824877,Emmanuelle,,Neufchâtel-Est/Lebourgneuf,46.84835,-71.3035,Private room,25,14,1,2017-11-03,0.06,1,0
20979157,Dream Mansion2,150497223,Caroline,,Neufchâtel-Est/Lebourgneuf,46.83971,-71.30353,Private room,75,1,24,2018-12-24,1.37,2,64
20981784,Appartement confortable / Comfortable appartment,144604389,Pauline,,Saint-Louis,46.76543,-71.2861,Entire home/apt,88,1,50,2019-02-17,2.83,8,251
20996918,Superbe loft au coeur du Vieux-Québec,151152469,Maha,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81501,-71.21122,Entire home/apt,75,1,22,2019-02-10,2.93,1,88
21003579,Jolie maison de ville pour découvrir Québec,5886277,Nathan & Emilie,,Duberger-Les Saules,46.81785,-71.28931,Entire home/apt,150,2,4,2018-07-17,0.25,1,34
21010124,Résidence familiale,91900638,Patrick,,Quartier 5-1,46.89811,-71.19805,Entire home/apt,60,120,0,,,1,358
21012835,Comfortable HQ in the heart of Quebec City,35006144,Jessy,,Saint-Roch,46.81402,-71.22733,Private room,150,2,97,2018-11-10,5.63,2,0
21014418,La solo,151290237,Suzanne,,Quartier 4-3,46.87595,-71.25504,Private room,46,1,2,2018-08-26,0.12,2,126
21023728,Grande chambre près de tout les services,44191628,Sabrina,,Saint-Sauveur,46.80514,-71.25682,Private room,50,3,31,2019-02-19,1.81,1,155
21039695,Québec 1875,151545512,Luc,,Saint-Jean-Baptiste,46.81026,-71.2205,Entire home/apt,300,2,44,2019-03-03,2.56,1,260
21041731,Discover Québec / Découvrez Québec!,135254017,Simon,,Saint-Jean-Baptiste,46.80878,-71.22671,Private room,40,1,50,2019-01-17,2.87,1,0
21043451,Chambre dans une maison sympa,150759971,J David,,Quartier 4-2,46.89615,-71.28734,Private room,50,2,34,2018-12-28,1.95,2,86
21044984,Le nid québécois,4089494,Paule,,Saint-Louis,46.75619,-71.29965,Entire home/apt,50,5,1,2018-01-01,0.07,1,0
21075924,Andréanne's place,150103495,Andréanne,,Maizerets,46.83621,-71.21729,Shared room,42,2,0,,,1,0
21080680,Perfectly located studio in Québec City,50328682,Annie-Claude,,Montcalm,46.7996,-71.22732,Entire home/apt,90,2,62,2019-02-24,3.55,2,2
21095804,Charlesbourg,152096684,Nicolas,,Quartier 4-2,46.8829,-71.2811,Private room,40,1,12,2018-12-09,0.77,1,361
21109205,LAUREAT2-10-45,130033021,Gilbert,,Cité Universitaire,46.78883,-71.27599,Entire home/apt,205,2,10,2018-12-30,1.29,32,0
21109237,XYX,130033021,Gilbert,,Cité Universitaire,46.78819,-71.27384,Entire home/apt,234,2,0,,,32,0
